x,y,z
-7.281267,-8.584484,-0.496993
-6.26196,-8.819556,-0.478641
-5.249772,-9.028122,-0.455493
-4.242506,-9.19278,-0.440009
-3.234833,-9.301971,-0.428412
-2.237781,-9.388223,-0.40965
-1.235193,-9.447973,-0.395902
-0.237385,-9.469513,-0.386724
0.769268,-9.449564,-0.370346
1.772294,-9.402753,-0.354217
2.779729,-9.31787,-0.342952
3.784397,-9.215894,-0.325858
4.797873,-9.074027,-0.309384
5.808887,-8.90067,-0.298369
6.828172,-8.707761,-0.287567
7.843844,-8.449629,-0.273675
8.862221,-8.181858,-0.259219
9.870922,-7.869006,-0.24509
-9.32236,-8.007701,0.481447
-8.300476,-8.318149,0.495009
-7.28307,-8.585914,0.506608
-6.269849,-8.826561,0.529851
-5.255263,-9.019002,0.544903
-4.247671,-9.164516,0.562947
-3.244347,-9.296268,0.573129
-2.243554,-9.374003,0.592884
-1.242899,-9.438966,0.60084
-0.242427,-9.457266,0.61139
0.764972,-9.44232,0.63023
1.764801,-9.389039,0.64851
2.769184,-9.296409,0.661238
3.777288,-9.196838,0.676288
4.787925,-9.05452,0.687114
5.800778,-8.899868,0.700102
6.822178,-8.685833,0.719541
7.840876,-8.462963,0.736702
8.856301,-8.182895,0.748653
9.867697,-7.882233,0.763487
-9.342374,-7.967291,1.49084
-8.315253,-8.267034,1.501721
-7.299443,-8.538459,1.513395
-6.277625,-8.763827,1.526494
-5.270452,-8.958283,1.539217
-4.262519,-9.125275,1.559196
-3.259743,-9.241438,1.564114
-2.259824,-9.333804,1.582399
-1.257547,-9.378264,1.597409
-0.255433,-9.404682,1.609604
0.750646,-9.392663,1.627272
1.74907,-9.330864,1.642071
2.753217,-9.267894,1.663148
3.764777,-9.152621,1.67658
4.775421,-9.02484,1.690521
5.789618,-8.853818,1.707615
6.809372,-8.641697,1.721663
7.826178,-8.410292,1.74104
8.844043,-8.129913,1.752432
9.857362,-7.847878,1.770223
-9.355249,-7.880026,2.497027
-8.3319,-8.186788,2.503663
-7.312251,-8.435199,2.513722
-6.289951,-8.686247,2.524464
-5.280639,-8.875784,2.538555
-4.276816,-9.040479,2.547009
-3.270975,-9.165509,2.558897
-2.273652,-9.248574,2.577011
-1.273606,-9.302286,2.586807
-0.271474,-9.320151,2.602068
0.737293,-9.308422,2.622341
1.739179,-9.257211,2.634466
2.74245,-9.185888,2.653539
3.752218,-9.070159,2.673731
4.765867,-8.942167,2.691525
5.779168,-8.781145,2.707526
6.796946,-8.584841,2.723391
7.812317,-8.344142,2.742428
8.831269,-8.069608,2.762728
9.848786,-7.772569,2.776174
-9.371193,-7.746345,3.498059
-8.347282,-8.059172,3.501535
-7.328184,-8.330445,3.512449
-6.307445,-8.558634,3.514223
-5.296745,-8.75239,3.524503
-4.291818,-8.906624,3.538404
-3.289868,-9.036783,3.544809
-2.286646,-9.126699,3.564084
-1.284697,-9.188794,3.573799
-0.285257,-9.208971,3.590642
0.725153,-9.193705,3.61109
1.728763,-9.150998,3.624591
2.73896,-9.069796,3.645403
3.742777,-8.958715,3.661273
4.756246,-8.836392,3.680308
5.76775,-8.672368,3.701629
6.788301,-8.453113,3.72461
7.806199,-8.235161,3.739413
8.82203,-7.962635,3.75833
9.838521,-7.671461,3.781888
-9.389207,-7.592549,4.504587
-8.364855,-7.885665,4.501806
-7.34628,-8.166736,4.510142
-6.322493,-8.418739,4.514572
-5.312223,-8.581982,4.520042
-4.30335,-8.759775,4.533287
-3.300199,-8.875607,4.539988
-2.299713,-8.955566,4.554159
-1.29374,-9.03678,4.570416
-0.295707,-9.047345,4.584201
0.71432,-9.028686,4.608549
1.717522,-8.982311,4.623585
2.723223,-8.919608,4.638222
3.734269,-8.808504,4.658902
4.744513,-8.678633,4.681551
5.758391,-8.523124,4.704359
6.781343,-8.318025,4.721659
7.797769,-8.078402,4.745265
8.81714,-7.821033,4.766997
9.828025,-7.519515,4.789715
-9.413714,-7.373466,5.512005
-8.389526,-7.689427,5.507037
-7.366808,-7.977818,5.512525
-6.342548,-8.194997,5.517822
-5.327469,-8.391241,5.522562
-4.321456,-8.555222,5.529109
-3.313028,-8.672108,5.535024
-2.31395,-8.786979,5.555593
-1.310316,-8.82415,5.563916
-0.307962,-8.863227,5.578219
0.701131,-8.836519,5.599097
1.707894,-8.794999,5.62187
2.716502,-8.714803,5.633991
3.725927,-8.64279,5.658694
4.738049,-8.493594,5.679264
5.750061,-8.336517,5.707654
6.771304,-8.127992,5.724457
7.790275,-7.901791,5.7508
8.808228,-7.641181,5.772371
9.829578,-7.350522,5.798233
-9.431033,-7.145689,6.520309
-8.407355,-7.448446,6.515404
-7.382797,-7.718418,6.513113
-6.363226,-7.961141,6.516184
-5.342695,-8.153537,6.523514
-4.335315,-8.335248,6.53245
-3.329142,-8.4581,6.536656
-2.324217,-8.537266,6.551052
-1.322224,-8.613483,6.560787
-0.318387,-8.648486,6.576685
0.690807,-8.627353,6.595677
1.698629,-8.575936,6.618442
2.708252,-8.506808,6.635787
3.72384,-8.420277,6.662575
4.73546,-8.303892,6.68621
5.746642,-8.123812,6.710233
6.769931,-7.915025,6.730789
7.788061,-7.690998,6.754457
8.799442,-7.408586,6.778132
9.834462,-7.15879,6.805319
-9.456768,-6.861378,7.533692
-8.431319,-7.181343,7.524781
-7.406521,-7.462769,7.528171
-6.385003,-7.699921,7.52647
-5.361519,-7.896605,7.53387
-4.350928,-8.040976,7.534645
-3.344168,-8.167528,7.540248
-2.33604,-8.28433,7.552141
-1.33271,-8.328442,7.564286
-0.326852,-8.365281,7.580808
0.684133,-8.353689,7.603859
1.696682,-8.329089,7.621945
2.702708,-8.24927,7.642379
3.720239,-8.156185,7.668681
4.730899,-8.034606,7.693697
5.744204,-7.886106,7.721955
6.765189,-7.670632,7.741136
7.787375,-7.449956,7.771871
8.805204,-7.169429,7.792943
9.824254,-6.887531,7.829761
-9.478346,-6.549822,8.550493
-8.447807,-6.872667,8.54334
-7.430302,-7.145521,8.54229
-6.403693,-7.3808,8.537177
-5.379262,-7.567671,8.53777
-4.366578,-7.757057,8.545808
-3.357173,-7.871465,8.550586
-2.350442,-7.961051,8.557847
-1.343922,-8.032293,8.573037
-0.339852,-8.059172,8.585092
0.673853,-8.057333,8.608346
1.687814,-8.018818,8.628754
2.69725,-7.96235,8.651964
3.712959,-7.880227,8.68109
4.727613,-7.750905,8.70582
5.744169,-7.588713,8.734836
6.766136,-7.404117,8.760733
7.783798,-7.153519,8.783979
8.803284,-6.893116,8.810058
9.837337,-6.619353,8.851766
-9.497535,-6.188261,9.563538
-8.475883,-6.527536,9.550663
-7.450552,-6.80558,9.545898
-6.426638,-7.056728,9.551875
-5.404686,-7.242029,9.542997
-4.385435,-7.4082,9.548436
-3.371536,-7.528676,9.549752
-2.363525,-7.639099,9.564343
-1.355611,-7.698981,9.577158
-0.347655,-7.728636,9.588091
0.665784,-7.727647,9.610297
1.677806,-7.69198,9.633868
2.693236,-7.621811,9.653293
3.709301,-7.548967,9.683403
4.721354,-7.432979,9.71249
5.740223,-7.273424,9.743195
6.762086,-7.105915,9.777774
7.781148,-6.830195,9.796151
8.810093,-6.577778,9.830903
9.844188,-6.30508,9.869099
